"","1_67","2_67","3_67","4_67","5_67","6_67"
"1",0,0,0,0,1,0
"2",0,0,0,0,0,0
"3",0,0,0,0,0,0
"4",0,0,0,0,1,0
"5",0,0,0,0,0,1
"6",0,0,0,0,0,0
"7",0,2,0,0,1,0
"8",0,0,0,0,0,0
"9",0,0,0,0,1,0
"10",0,0,0,0,0,0
"11",0,0,0,0,2,0
"12",0,0,0,0,0,0
"13",0,1,0,0,1,0
"14",2,0,0,0,0,0
"15",0,0,0,0,0,0
"16",0,0,0,0,0,0
"17",0,0,0,0,0,0
"18",0,0,0,6,0,0
"19",0,0,4,0,2,0
"20",1,0,0,0,0,0
"21",0,0,0,2,2,0
"22",0,0,0,0,0,0
"23",0,0,0,0,0,0
"24",0,0,2,0,0,0
"25",0,0,0,0,0,0
"26",0,0,0,0,0,0
"27",0,0,0,0,2,0
"28",0,0,0,0,2,0
"29",0,0,0,0,0,0
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",2,0,0,0,0,0
"33",0,0,0,0,0,0
"34",0,0,0,0,0,2
"35",0,0,0,0,0,0
"36",0,0,0,0,0,0
"37",0,0,0,0,0,0
"38",0,0,0,0,0,0
"39",0,0,2,0,0,0
"40",2,1,0,0,1,0
"41",0,0,0,0,0,0
"42",0,0,0,1,1,0
"43",0,0,0,0,2,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,2,0,0,1,0
"47",0,0,1,1,2,0
"48",0,1,0,0,2,0
"49",0,0,0,1,1,0
"50",0,0,0,0,1,0
"51",0,0,1,0,0,1
"52",0,0,1,1,1,0
"53",1,0,0,0,0,0
"54",0,0,0,0,1,0
"55",0,0,0,0,0,2
"56",4,0,0,0,0,0
"57",0,0,2,0,0,0
"58",0,0,0,0,2,0
"59",0,0,0,0,0,4
"60",0,0,4,0,4,0
"61",0,0,0,4,0,2
"62",0,0,1,0,0,0
"63",0,0,0,0,0,0
"64",1,0,0,2,0,1
"65",0,0,0,0,0,0
"66",0,1,0,0,3,1
"67",0,0,0,0,3,2
"68",0,0,0,2,0,0
"69",0,0,0,0,0,1
"70",0,0,0,1,0,0
"71",0,2,0,0,0,1
"72",0,3,0,3,0,0
"73",0,0,0,0,1,1
"74",0,1,0,0,1,0
"75",0,0,0,0,0,0
"76",0,1,0,0,0,2
"77",3,0,0,0,2,1
"78",1,0,1,1,2,0
"79",0,0,2,0,0,0
"80",1,0,1,0,0,0
"81",0,1,0,0,0,0
"82",7,0,0,0,0,0
"83",0,1,0,0,0,0
"84",0,0,0,1,0,2
"85",0,0,0,3,0,0
"86",0,1,5,0,0,1
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",0,0,0,0,0,0
"90",1,0,0,0,0,0
"91",0,0,0,0,0,0
"92",0,0,0,0,0,0
"93",0,0,2,0,0,2
"94",0,0,0,0,0,0
"95",1,1,2,0,0,0
"96",4,0,1,0,0,0
"97",0,0,0,0,0,0
"98",0,0,2,0,0,0
"99",0,0,0,0,0,0
"100",0,0,2,0,0,1
"101",0,0,4,0,0,0
"102",2,0,0,0,0,0
"103",0,0,0,0,0,0
"104",0,1,1,0,0,0
"105",0,0,0,0,0,0
"106",0,1,0,0,0,0
"107",0,3,0,0,0,0
"108",6,1,0,0,0,0
"109",0,0,0,0,0,0
"110",0,2,0,0,0,0
"111",0,0,0,0,0,0
"112",1,3,0,0,0,0
"113",1,2,0,0,0,0
"114",1,0,0,0,0,0
"115",0,0,3,0,0,0
"116",3,1,0,0,0,0
"117",0,1,1,0,0,0
"118",0,0,1,0,NA,0
"119",0,0,1,0,NA,0
"120",0,0,0,0,NA,0
"121",1,0,2,0,NA,0
"122",0,0,0,0,NA,0
"123",0,0,0,0,NA,0
"124",0,0,0,0,NA,0
"125",0,0,1,0,NA,0
"126",2,0,1,0,NA,0
"127",0,0,0,0,NA,0
"128",0,0,0,0,NA,0
"129",1,0,0,0,NA,0
"130",0,0,1,NA,NA,0
"131",0,0,3,NA,NA,0
"132",3,0,0,NA,NA,0
"133",1,0,0,NA,NA,0
"134",0,0,1,NA,NA,0
"135",0,0,0,NA,NA,0
"136",0,0,3,NA,NA,0
"137",0,0,1,NA,NA,0
"138",0,0,0,NA,NA,0
"139",0,0,1,NA,NA,0
"140",0,0,2,NA,NA,0
"141",0,0,0,NA,NA,0
"142",0,0,0,NA,NA,0
"143",6,0,1,NA,NA,0
"144",1,0,0,NA,NA,0
"145",0,0,0,NA,NA,0
"146",1,0,0,NA,NA,0
"147",0,0,0,NA,NA,0
"148",1,0,0,NA,NA,0
"149",0,0,0,NA,NA,0
"150",0,0,0,NA,NA,0
"151",0,0,0,NA,NA,NA
"152",0,0,0,NA,NA,NA
"153",0,0,0,NA,NA,NA
"154",0,0,0,NA,NA,NA
"155",0,0,0,NA,NA,NA
"156",0,0,0,NA,NA,NA
"157",0,0,0,NA,NA,NA
"158",0,0,0,NA,NA,NA
"159",0,0,0,NA,NA,NA
"160",0,0,0,NA,NA,NA
"161",0,0,0,NA,NA,NA
"162",0,0,0,NA,NA,NA
"163",0,0,0,NA,NA,NA
"164",0,0,0,NA,NA,NA
"165",0,0,0,NA,NA,NA
"166",0,0,0,NA,NA,NA
"167",0,0,0,NA,NA,NA
"168",0,0,0,NA,NA,NA
"169",0,0,0,NA,NA,NA
"170",0,0,0,NA,NA,NA
"171",0,0,0,NA,NA,NA
"172",0,0,0,NA,NA,NA
"173",0,0,0,NA,NA,NA
"174",0,0,0,NA,NA,NA
"175",0,0,0,NA,NA,NA
"176",0,0,0,NA,NA,NA
"177",0,0,0,NA,NA,NA
"178",0,0,0,NA,NA,NA
"179",0,0,0,NA,NA,NA
"180",0,0,0,NA,NA,NA
"181",0,0,0,NA,NA,NA
"182",0,0,0,NA,NA,NA
"183",0,0,0,NA,NA,NA
"184",0,0,0,NA,NA,NA
"185",0,0,0,NA,NA,NA
"186",0,0,0,NA,NA,NA
"187",0,0,0,NA,NA,NA
"188",0,0,0,NA,NA,NA
"189",0,0,0,NA,NA,NA
"190",0,0,0,NA,NA,NA
"191",0,0,0,NA,NA,NA
"192",0,0,0,NA,NA,NA
"193",0,NA,0,NA,NA,NA
"194",0,NA,0,NA,NA,NA
"195",0,NA,0,NA,NA,NA
"196",0,NA,0,NA,NA,NA
"197",0,NA,0,NA,NA,NA
"198",0,NA,0,NA,NA,NA
"199",0,NA,0,NA,NA,NA
"200",0,NA,0,NA,NA,NA
"201",0,NA,0,NA,NA,NA
"202",0,NA,0,NA,NA,NA
"203",0,NA,0,NA,NA,NA
"204",0,NA,0,NA,NA,NA
"205",0,NA,0,NA,NA,NA
"206",0,NA,0,NA,NA,NA
"207",0,NA,0,NA,NA,NA
"208",0,NA,0,NA,NA,NA
"209",0,NA,0,NA,NA,NA
"210",0,NA,0,NA,NA,NA
"211",0,NA,0,NA,NA,NA
"212",0,NA,0,NA,NA,NA
"213",0,NA,0,NA,NA,NA
"214",0,NA,0,NA,NA,NA
"215",0,NA,0,NA,NA,NA
"216",0,NA,0,NA,NA,NA
"217",0,NA,0,NA,NA,NA
"218",0,NA,0,NA,NA,NA
"219",0,NA,0,NA,NA,NA
"220",0,NA,0,NA,NA,NA
"221",0,NA,0,NA,NA,NA
"222",0,NA,0,NA,NA,NA
"223",0,NA,NA,NA,NA,NA
"224",0,NA,NA,NA,NA,NA
"225",0,NA,NA,NA,NA,NA
"226",0,NA,NA,NA,NA,NA
"227",0,NA,NA,NA,NA,NA
"228",0,NA,NA,NA,NA,NA
